        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Temperature [?C] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Memory Usage (Dedicated) [MB] , Memory Usage (Dynamic) [MB] , PerfCap Reason [] , VDDC [V] ,
19-02-18 10:12:50 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:51 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:12:52 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:53 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:54 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:12:55 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:56 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:12:58 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:12:59 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:00 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:01 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:02 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:13:03 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:13:04 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:13:05 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:13:06 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:13:08 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:13:10 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:11 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:12 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:13 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:13:14 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:15 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:13:16 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:13:17 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:13:18 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:19 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:13:21 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:22 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:13:23 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:24 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:25 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:26 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:13:27 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
